hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
citizenM New York Bowery,Bowery / Lower East Side,Chelsea Market,0.4,Bowery,14 St,1.01,5.16,4.77,10.93,73.17
citizenM New York Bowery,Bowery / Lower East Side,Washington Square Park,0.35,Bowery,W 4 St-Wash Sq,1.01,3.94,3.0,7.95,79.69
citizenM New York Bowery,Bowery / Lower East Side,SoHo,0.3,Bowery,Canal St,1.01,3.52,3.0,7.53,80.65
citizenM New York Bowery,Bowery / Lower East Side,Williamsburg,0.25,Bowery,Marcy Av,1.01,0.8,6.65,8.45,78.55
The William Vale,Williamsburg,Statue of Liberty,1.0,Nassau Av,South Ferry,6.5,37.22,11.65,55.37,20.55
The William Vale,Williamsburg,Times Square,0.95,Nassau Av,Times Sq-42 St,6.5,0.57,9.13,16.2,62.95
The William Vale,Williamsburg,Empire State Building,0.9,Nassau Av,34 St-Herald Sq,6.5,2.82,8.31,17.63,60.43
The William Vale,Williamsburg,Central Park,0.85,Nassau Av,81 St-Museum of Natural History,6.5,5.95,13.11,25.56,48.17
The William Vale,Williamsburg,Grand Central Terminal,0.8,Nassau Av,Grand Central-42 St,6.5,1.31,7.42,15.23,64.72
The William Vale,Williamsburg,The Metropolitan Museum of Art,0.75,Nassau Av,86 St,6.5,8.22,12.22,26.95,46.3
The William Vale,Williamsburg,World Trade Center,0.7,Nassau Av,WTC Cortlandt,6.5,1.78,10.65,18.94,58.21
The William Vale,Williamsburg,Brooklyn Bridge,0.65,Nassau Av,Fulton St,6.5,11.23,9.92,27.65,45.39
The William Vale,Williamsburg,Rockefeller Center,0.6,Nassau Av,47-50 Sts-Rockefeller Ctr,6.5,2.8,9.11,18.41,59.1
The William Vale,Williamsburg,Bryant Park,0.55,Nassau Av,5 Av,6.5,1.37,8.3,16.18,62.99
The William Vale,Williamsburg,Penn Station,0.5,Nassau Av,34 St-Penn Station,6.5,2.39,9.39,18.29,59.3
The William Vale,Williamsburg,MoMA,0.45,Nassau Av,5 Av/53 St,6.5,3.08,8.87,18.45,59.02
The William Vale,Williamsburg,Chelsea Market,0.4,Nassau Av,14 St,6.5,5.16,9.23,20.9,55.04
